Date,"S&P 500 PE Ratio by Month
",Shiller PE Ratio by Month,S&P 500 Earning Yield by Month,S&P 500 Real Price by Month,S&P 500 Inflation Adjusted by Month,Inflation,Date,S&P 500 Dividend by Month,S&P 500 Dividend Yield by Month,,Date,S&P 500 Earnings by Month
3/1/2018,25.01,32.22,4,2677.67,2677.67,0.0240,12/31/2017,49.2,1.85,,9/30/2017,107.53
2/1/2018,26.3,33.89,3.8,2816.45,2816.45,0.0221,11/30/2017,48.92,1.89,,8/31/2017,107.07
1/1/2018,25.06,32.3,3.99,2683.73,2683.73,0.0207,10/31/2017,48.66,1.92,,7/31/2017,106.36
12/1/2017,24.7,32,4.05,2645.1,2659.51,0.0211,9/30/2017,48.38,1.95,,6/30/2017,105.26
11/1/2017,24.09,31.19,4.15,2579.36,2591.89,0.0220,8/31/2017,48.31,1.93,,5/31/2017,104.09
10/1/2017,23.55,30.49,4.25,2521.2,2533.51,0.0204,7/31/2017,48.14,1.96,,4/30/2017,102.92
9/1/2017,23.11,29.95,4.33,2474.42,2484.93,0.0223,6/30/2017,47.78,1.94,,3/31/2017,101.96
8/1/2017,23.36,30.17,4.28,2477.1,2500.79,0.0194,5/31/2017,47.54,1.97,,2/28/2017,100.1
7/1/2017,23.15,29.72,4.32,2431.39,2461.99,0.0172,4/30/2017,47.3,1.98,,1/31/2017,98.46
6/1/2017,23.36,29.7,4.28,2430.06,2458.95,0.0163,3/31/2017,47.16,1.96,,12/31/2016,97.07
5/1/2017,23.24,29.23,4.3,2388.33,2418.91,0.0187,2/28/2017,46.96,1.98,,11/30/2016,95.23
4/1/2017,23.23,28.9,4.3,2358.84,2391.09,0.0220,1/31/2017,46.88,2.02,,10/31/2016,93.22
3/1/2017,23.6,29.09,4.24,2366.82,2406.29,0.0238,12/31/2016,46.92,2.03,,9/30/2016,91.47
2/1/2017,23.68,28.66,4.22,2329.91,2370.69,0.0274,11/30/2016,46.7,2.1,,8/31/2016,90.94
1/1/2017,23.59,28.06,4.24,2275.12,2322.23,0.0250,10/31/2016,46.4,2.11,,7/31/2016,90.27
12/1/2016,23.76,27.87,4.21,2246.63,2306.51,0.0207,9/30/2016,46.23,2.09,,6/30/2016,89.38
11/1/2016,23.35,26.85,4.28,2164.99,2223.42,0.0169,8/31/2016,46.14,2.07,,5/31/2016,89.52
10/1/2016,23.57,26.53,4.24,2143.02,2197.44,0.0164,7/31/2016,45.99,2.08,,4/30/2016,89.71
9/1/2016,24.22,26.73,4.13,2157.69,2215.24,0.0146,6/30/2016,45.72,2.13,,3/31/2016,89.97
8/1/2016,24.57,26.95,4.07,2170.95,2234.21,0.0106,5/31/2016,45.67,2.14,,2/29/2016,90.39
7/1/2016,24.52,26.69,4.08,2148.9,2213.37,0.0084,4/30/2016,45.66,2.12,,1/31/2016,90.5
6/1/2016,23.97,25.84,4.17,2083.89,2142.93,0.0101,3/31/2016,45.67,2.17,,12/31/2015,90.68
5/1/2016,23.81,25.69,4.2,2065.55,2131.16,0.0102,2/29/2016,45.7,2.3,,11/30/2015,91.81
4/1/2016,23.97,25.92,4.17,2075.54,2150.2,0.0113,1/31/2016,45.56,2.27,,10/31/2015,93.05
3/1/2016,23.39,25.37,4.28,2021.95,2104.61,0.0085,12/31/2015,45.47,2.11,,9/30/2015,94.44
2/1/2016,22.02,24,4.54,1904.42,1990.81,0.0102,11/30/2015,45.01,2.07,,8/31/2015,95.77
1/1/2016,22.18,24.21,4.51,1918.6,2007.28,0.0137,10/31/2015,44.61,2.11,,7/31/2015,97.1
12/1/2015,23.74,25.97,4.21,2054.08,2152.58,0.0073,9/30/2015,44.28,2.19,,6/30/2015,98.58
11/1/2015,23.67,26.23,4.23,2080.62,2172.94,0.0050,8/31/2015,43.95,2.07,,5/31/2015,100.43
10/1/2015,22.68,25.49,4.41,2024.81,2110.19,0.0017,7/31/2015,43.62,2.01,,4/30/2015,102.46
