,alpha Estimate,Beta Estimate,alpha Std. Error,Beta Estimate Std. Error,alpha p-value,beta p-value
6,-7.93E-05,-0.00119748,5.83E-05,0.002310828,0.173837644,0.604429779
7,-0.000121845,-0.001692841,5.44E-05,0.002157278,0.025330962,0.432807
8,-0.000151768,-0.002008444,5.12E-05,0.002030546,0.003110454,0.322844236
9,-0.0001707,-0.002241525,4.85E-05,0.001923199,0.000451585,0.244084518
10,-0.000183362,-0.002418588,4.61E-05,0.001829787,7.58E-05,0.186539101
11,-0.000190074,-0.00252226,4.42E-05,0.00175071,1.83E-05,0.149978022
12,-0.000190709,-0.002501079,4.24E-05,0.001680959,7.63E-06,0.137093144
13,-0.000188488,-0.002423032,4.07E-05,0.001614327,4.14E-06,0.13368031
14,-0.000186695,-0.002292632,3.91E-05,0.001550755,2.07E-06,0.139613899
15,-0.000182246,-0.002107872,3.78E-05,0.001499596,1.66E-06,0.160143028
16,-0.000176352,-0.001874176,3.67E-05,0.001455137,1.78E-06,0.198051194
17,-0.000170141,-0.001638296,3.56E-05,0.001412797,2.06E-06,0.246481338
18,-0.00016241,-0.001418639,3.47E-05,0.001375335,3.22E-06,0.302560313
19,-0.000154581,-0.00126217,3.38E-05,0.001339166,5.30E-06,0.346160109
20,-0.000146214,-0.001123278,3.28E-05,0.001302069,9.42E-06,0.388514525
21,-0.0001373,-0.000965328,3.19E-05,0.001266728,1.89E-05,0.446200114
22,-0.000127657,-0.000804878,3.12E-05,0.001235614,4.53E-05,0.514937257
23,-0.000117911,-0.000657474,3.03E-05,0.001202457,0.000107554,0.58465383
24,-0.000108016,-0.000516822,2.96E-05,0.001173315,0.000275179,0.659683743
25,-9.83E-05,-0.000353356,2.89E-05,0.001145344,0.000693749,0.757753976
26,-8.84E-05,-0.000145867,2.82E-05,0.001117364,0.001756147,0.896160627
27,-7.88E-05,5.40E-05,2.75E-05,0.001090767,0.004285632,0.960554529
28,-6.91E-05,0.000230118,2.68E-05,0.001064516,0.010249932,0.828897677
29,-5.89E-05,0.000385939,2.63E-05,0.001041793,0.025124178,0.711120444
30,-4.93E-05,0.000535102,2.57E-05,0.001020673,0.05573874,0.600210559
31,-4.01E-05,0.00067963,2.52E-05,0.000999869,0.112303024,0.496838255
32,-3.13E-05,0.000788416,2.47E-05,0.000980878,0.206279509,0.421709765
33,-2.28E-05,0.000889453,2.43E-05,0.000964043,0.349230314,0.356421986
34,-1.50E-05,0.000994542,2.39E-05,0.000947259,0.530471757,0.29400821
35,-7.81E-06,0.001079726,2.35E-05,0.000931032,0.73932389,0.246442378
36,-6.77E-07,0.001142646,2.31E-05,0.000916728,0.976652914,0.212892759
